param n := 431;
param deposito := 1;
param numero_clusters := 87;
param factor := 1;

set Np[1]:= 411 412  ;
set Np[2]:= 1  ;
set Np[3]:= 310 311 315 317 318 319 320  ;
set Np[4]:= 431  ;
set Np[5]:= 245  ;
set Np[6]:= 427  ;
set Np[7]:= 402  ;
set Np[8]:= 203 204  ;
set Np[9]:= 348 349 350 351 353  ;
set Np[10]:= 269 270 271  ;
set Np[11]:= 381 382 383 384  ;
set Np[12]:= 76  ;
set Np[13]:= 419 421  ;
set Np[14]:= 25 143 144 145 146 147 148 149 150 151 152 153 154 155 187 188 190 192  ;
set Np[15]:= 407  ;
set Np[16]:= 333 334 335 336 337 338 339  ;
set Np[17]:= 405  ;
set Np[18]:= 233 234  ;
set Np[19]:= 293 294 295  ;
set Np[20]:= 428  ;
set Np[21]:= 244  ;
set Np[22]:= 424  ;
set Np[23]:= 63 64 65 66 67 68 73  ;
set Np[24]:= 415 416 417 418  ;
set Np[25]:= 358 361 362  ;
set Np[26]:= 426  ;
set Np[27]:= 390 391 392 393 394 395 396  ;
set Np[28]:= 414  ;
set Np[29]:= 430  ;
set Np[30]:= 219 220 221 222 223 224  ;
set Np[31]:= 367 401  ;
set Np[32]:= 341 342 344  ;
set Np[33]:= 2 3 4 5 6 7 8 13 14 16  ;
set Np[34]:= 246  ;
set Np[35]:= 359 360  ;
set Np[36]:= 231  ;
set Np[37]:= 321 322 323 324 325  ;
set Np[38]:= 82 88 91 98 156 157 158 159 160 161 162 164 165 166 206 207 208 209 210  ;
set Np[39]:= 326 327 368  ;
set Np[40]:= 75  ;
set Np[41]:= 369 370 371 372 373  ;
set Np[42]:= 202 255 256 257 259 260 261 262 263 264 265 266 267 268  ;
set Np[43]:= 241 242 243  ;
set Np[44]:= 26 30 31 32 33 34 35 36 37 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 69 70 71 72 103  ;
set Np[45]:= 429  ;
set Np[46]:= 276 277  ;
set Np[47]:= 236  ;
set Np[48]:= 216 217 228 229  ;
set Np[49]:= 249 250 251  ;
set Np[50]:= 425  ;
set Np[51]:= 422  ;
set Np[52]:= 272 273 274 275  ;
set Np[53]:= 296 298 299 300 301 306 307 308 309  ;
set Np[54]:= 278 279 280 281 282 283 284 289 290 291 292  ;
set Np[55]:= 423  ;
set Np[56]:= 420  ;
set Np[57]:= 330 331 332 340  ;
set Np[58]:= 354 355 356  ;
set Np[59]:= 408  ;
set Np[60]:= 352 357  ;
set Np[61]:= 77 78 79  ;
set Np[62]:= 413  ;
set Np[63]:= 172 173 174 176 177 178 179 180 181 182 183 189 193 194 195 196 211 212 213  ;
set Np[64]:= 409 410  ;
set Np[65]:= 230  ;
set Np[66]:= 387 388 389 397 398 399 400  ;
set Np[67]:= 363 364  ;
set Np[68]:= 225 226 227 258 285 286 287 288  ;
set Np[69]:= 205 214 215 218  ;
set Np[70]:= 403  ;
set Np[71]:= 365 366 374  ;
set Np[72]:= 248 252 385 386  ;
set Np[73]:= 375 376 377 378 379 380  ;
set Np[74]:= 247  ;
set Np[75]:= 302 303 304 305 314  ;
set Np[76]:= 191 197 198 199 200 201 253 254  ;
set Np[77]:= 240  ;
set Np[78]:= 38 39 95 96 97 99 100 101 102 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 163 167 168 169 170 171 175 184 185 186  ;
set Np[79]:= 237 238 239 297  ;
set Np[80]:= 312 313 316 328 329  ;
set Np[81]:= 9 10 11 12 15 17 18 19 20 21 22 23 24 27 28 29  ;
set Np[82]:= 343 345 346 347  ;
set Np[83]:= 80 81 83 84 85 86 87 89 90 92 93 94  ;
set Np[84]:= 404  ;
set Np[85]:= 74  ;
set Np[86]:= 232 235  ;
set Np[87]:= 406  ;


param c:=
1	2	16.35
1	3	17.43
1	4	19.81
1	5	19.25
1	6	21.17
1	7	21.99
1	8	20.94
1	9	25.12
1	10	25.25
1	11	27.77
1	12	25.18
1	13	22.17
1	14	21.34
1	15	23.52
1	16	18.12
1	17	26.68
1	18	27.85
1	19	27.15
1	20	26.04
1	21	27.31
1	22	31.17
1	23	33.09
1	24	33.17
1	25	35.03
1	26	27.76
1	27	30.65
1	28	30.96
1	29	31.77
1	30	23.71
1	31	26.23
1	32	25.95
1	33	27.6
1	34	28.1
1	35	29.74
1	36	31.66
1	37	31.93
1	38	33.37
1	39	34.61
1	40	33.67
1	41	33.35
1	42	32.35
1	43	31.25
1	44	31.87
1	45	32.66
1	46	33.65
1	47	32.86
1	48	33.39
1	49	33.8
1	50	35.4
1	51	24.85
1	52	27.17
1	53	28.49
1	54	26.23
1	55	26.88
1	56	28.85
1	57	28.14
1	58	27.79
1	59	28.14
1	60	28.81
1	61	28.92
1	62	29.54
1	63	28.72
1	64	27.91
1	65	29.27
1	66	30.53
1	67	33.23
1	68	31.02
1	69	22.18
1	70	22.66
1	71	24.88
1	72	26.08
1	73	25.3
1	74	26.93
1	75	37.27
1	76	58.04
1	77	58.9
1	78	52.62
1	79	57.69
1	80	54.37
1	81	52.76
1	82	54.88
1	83	44.01
1	84	38.15
1	85	37.4
1	86	42.12
1	87	42.04
1	88	42.38
1	89	45.77
1	90	48.58
1	91	47.93
1	92	40.13
1	93	39.83
1	94	41.8
1	95	37.31
1	96	38.43
1	97	39.24
1	98	40.99
1	99	35.69
1	100	37.85
1	101	39.58
1	102	41.4
1	103	34.04
1	104	34.96
1	105	34.58
1	106	34.68
1	107	35.35
1	108	35.24
1	109	35.35
1	110	35.37
1	111	35.5
1	112	37.32
1	113	38.71
1	114	39.49
1	115	40.04
1	116	40.13
1	117	41.15
1	118	34.06
1	119	36.08
1	120	35.83
1	121	36.98
1	122	38.31
1	123	35.58
1	124	36.23
1	125	39.21
1	126	38.25
1	127	32.66
1	128	32.99
1	129	33.91
1	130	34.21
1	131	35.11
1	132	37.91
1	133	39.71
1	134	41.01
1	135	42.95
1	136	41.79
1	137	33.67
1	138	35.4
1	139	37.23
1	140	38.42
1	141	39.67
1	142	34.65
1	143	37.24
1	144	37.04
1	145	38.17
1	146	34.44
1	147	37.91
1	148	39.69
1	149	40.92
1	150	42.08
1	151	42.64
1	152	40.74
1	153	40.46
1	154	38.62
1	155	39.76
1	156	42.75
1	157	46.91
1	158	46.13
1	159	44.49
1	160	46.85
1	161	48.68
1	162	50.95
1	163	44.53
1	164	46.19
1	165	46.71
1	166	49.68
1	167	40.45
1	168	41.62
1	169	45.21
1	170	43.37
1	171	43.78
1	172	47.83
1	173	45.53
1	174	47.81
1	175	44.37
1	176	46.32
1	177	47.21
1	178	49.59
1	179	53.63
1	180	50.14
1	181	51.39
1	182	51.91
1	183	54.2
1	184	40.63
1	185	40.42
1	186	41.76
1	187	42.08
1	188	44.07
1	189	46.24
1	190	43.75
1	191	46.84
1	192	45.06
1	193	48.84
1	194	50.07
1	195	53.25
1	196	52.9
1	197	45.0
1	198	48.05
1	199	46.85
1	200	48.83
1	201	50.54
1	202	58.67
1	203	66.23
1	204	71.01
1	205	59.79
1	206	54.41
1	207	53.03
1	208	48.76
1	209	53.36
1	210	55.14
1	211	50.85
1	212	57.17
1	213	56.54
1	214	65.28
1	215	71.89
1	216	76.63
1	217	77.1
1	218	65.99
1	219	62.82
1	220	60.96
1	221	59.13
1	222	65.54
1	223	70.51
1	224	73.95
1	225	70.0
1	226	69.75
1	227	74.96
1	228	84.1
1	229	87.85
1	230	93.85
1	231	117.82
1	232	100.19
1	233	109.37
1	234	119.35
1	235	99.24
1	236	102.13
1	237	94.65
1	238	91.9
1	239	93.88
1	240	112.91
1	241	130.43
1	242	132.32
1	243	139.47
1	244	156.85
