param n := 439;
param deposito := 439;
param numero_clusters := 88;
param factor := 1;

set Np[1]:= 429 431  ;
set Np[2]:= 439  ;
set Np[3]:= 26 27 28 29 30 31 63  ;
set Np[4]:= 389 390  ;
set Np[5]:= 248 249 252 254 255 256 257 258 314 315 316  ;
set Np[6]:= 83 84 85  ;
set Np[7]:= 432 433  ;
set Np[8]:= 385 386 387 388  ;
set Np[9]:= 342 343  ;
set Np[10]:= 95 96 97 98 99 100  ;
set Np[11]:= 1 2 3 4 5 6 7 8 46 49  ;
set Np[12]:= 190 223 224  ;
set Np[13]:= 189  ;
set Np[14]:= 434  ;
set Np[15]:= 403 408  ;
set Np[16]:= 291 292 293 359  ;
set Np[17]:= 406 407  ;
set Np[18]:= 402 404  ;
set Np[19]:= 419 420  ;
set Np[20]:= 77 78 86 87  ;
set Np[21]:= 149 186  ;
set Np[22]:= 285 286 287 340  ;
set Np[23]:= 110 111 112 147  ;
set Np[24]:= 415 416  ;
set Np[25]:= 384 393 394 395  ;
set Np[26]:= 304 305 325 326 327 328 329 330 331  ;
set Np[27]:= 154 155 156 157 158 159 177 178 179 180 181 182 195 196 197 198 199 200  ;
set Np[28]:= 20 21 22 24 65 66 67 68  ;
set Np[29]:= 337 338 339 360 361 362 363 370  ;
set Np[30]:= 163 164 165 166 167 168 169 170  ;
set Np[31]:= 412 413 422 423  ;
set Np[32]:= 15 16 17 33 34 35  ;
set Np[33]:= 230 281  ;
set Np[34]:= 435 436 437 438  ;
set Np[35]:= 103 113 114 143 152  ;
set Np[36]:= 226 227 228 229 283  ;
set Np[37]:= 376 377  ;
set Np[38]:= 79 80 81 82  ;
set Np[39]:= 216 217 218 219 220 237 238 239 240 241 265 266 267  ;
set Np[40]:= 374 375 381  ;
set Np[41]:= 311 312 313 320 321 322 323 324  ;
set Np[42]:= 288 289 290  ;
set Np[43]:= 73 74  ;
set Np[44]:= 171 172 173 174 175 176 201 202 203 204 205 206 207 208 210  ;
set Np[45]:= 32 59 60 61 62 75 76  ;
set Np[46]:= 18 19  ;
set Np[47]:= 145 148 185  ;
set Np[48]:= 277 278 279 294 295 296  ;
set Np[49]:= 418 428  ;
set Np[50]:= 409 410 411 424 425 426  ;
set Np[51]:= 187  ;
set Np[52]:= 282  ;
set Np[53]:= 268 269 270 271 272 301 302 303  ;
set Np[54]:= 124 125 126 127 134 135 136 137 138 160 161 162  ;
set Np[55]:= 231 232 280  ;
set Np[56]:= 367 368 369 378  ;
set Np[57]:= 400 401  ;
set Np[58]:= 23 25  ;
set Np[59]:= 150 151 153 183 184 191 192 193 194  ;
set Np[60]:= 108 109 144 146  ;
set Np[61]:= 297 298 299 300 332 333 334 335 336 364 365 366  ;
set Np[62]:= 92 93 94 102  ;
set Np[63]:= 350 351 352 353 354 355 356 357 358  ;
set Np[64]:= 211 212 213 214 215 242 243 244 245 246 247 259 260 261  ;
set Np[65]:= 48 50 51 52 53 54 55 56  ;
set Np[66]:= 391 392 399  ;
set Np[67]:= 69 70 71 72 88 89 90 91 104 105 106 107  ;
set Np[68]:= 371 372 373 382 383  ;
set Np[69]:= 9 10 11 12 13 14 36 37  ;
set Np[70]:= 101 115 116 117 118 119 120 121 122 123 139 140 141 142  ;
set Np[71]:= 57 58  ;
set Np[72]:= 405 417  ;
set Np[73]:= 284 344  ;
set Np[74]:= 128 129 130 131 132 133  ;
set Np[75]:= 317 318 319  ;
set Np[76]:= 262 263 264 306 307 308 309 310  ;
set Np[77]:= 427 430  ;
set Np[78]:= 345 346 347 348 349  ;
set Np[79]:= 221 222 233 234 235 236  ;
set Np[80]:= 188 225  ;
set Np[81]:= 396 397 398  ;
set Np[82]:= 414 421  ;
set Np[83]:= 273 274 275 276  ;
set Np[84]:= 341  ;
set Np[85]:= 379 380  ;
set Np[86]:= 38 39 40 41 42 43 44 45 47  ;
set Np[87]:= 209 250 251 253  ;
set Np[88]:= 64  ;


param c:=
1	2	269.26
1	3	180.28
1	4	250.0
1	5	388.1
1	6	500.62
1	7	600.52
1	8	700.45
1	9	800.39
1	10	928.04
1	11	941.41
1	12	1039.83
1	13	1150.0
1	14	1275.0
1	15	1400.0
1	16	1525.0
1	17	1628.07
1	18	5373.31
1	19	4975.19
1	20	4860.88
1	21	4461.85
1	22	4422.95
1	23	4287.34
1	24	4323.48
1	25	3888.61
1	26	3380.09
1	27	3281.01
1	28	3191.59
1	29	3157.23
1	30	2793.97
1	31	2761.91
1	32	2245.13
1	33	1652.46
1	34	1576.59
1	35	1456.02
1	36	1336.27
1	37	1217.58
1	38	1063.6
1	39	936.08
1	40	863.5
1	41	771.77
1	42	816.24
1	43	682.37
1	44	707.99
1	45	596.34
1	46	480.23
1	47	626.5
1	48	585.23
1	49	471.7
1	50	559.02
1	51	550.0
1	52	400.0
1	53	850.0
1	54	855.86
1	55	873.21
1	56	901.39
1	57	1421.49
1	58	1677.98
1	59	2023.92
1	60	2114.53
1	61	2205.96
1	62	2332.51
1	63	3153.67
1	64	3642.89
1	65	4311.39
1	66	4451.47
1	67	4575.07
1	68	4727.05
1	69	4767.07
1	70	4675.07
1	71	4554.19
1	72	4396.38
1	73	3273.57
1	74	3338.6
1	75	2381.83
1	76	2291.97
1	77	2130.87
1	78	1962.3
1	79	1380.67
1	80	1285.01
1	81	1200.52
1	82	1129.71
1	83	2450.13
1	84	2649.76
1	85	2853.18
1	86	2081.02
1	87	2240.68
1	88	4444.38
1	89	4540.1
1	90	4636.0
1	91	4732.07
1	92	5175.06
1	93	5295.34
1	94	5415.83
1	95	5790.62
1	96	5912.12
1	97	6166.9
1	98	6063.47
1	99	6130.1
1	100	5683.42
1	101	5740.32
1	102	5076.66
1	103	5156.06
1	104	4823.12
1	105	4728.9
1	106	4634.92
1	107	4541.2
1	108	4208.62
1	109	4094.58
1	110	3842.53
1	111	3927.47
1	112	4013.1
1	113	5006.06
1	114	5102.08
1	115	5299.17
1	116	5325.06
1	117	5416.7
1	118	5417.68
1	119	5510.56
1	120	5534.55
1	121	5603.68
1	122	5749.84
1	123	5929.27
1	124	6001.93
1	125	6047.99
1	126	6096.16
1	127	6190.57
1	128	6271.41
1	129	6285.15
1	130	6420.38
1	131	6539.73
1	132	6659.3
1	133	6779.06
1	134	6388.12
1	135	6295.09
1	136	6202.27
1	137	6109.67
1	138	5899.21
1	139	5718.94
1	140	5627.72
1	141	5536.81
1	142	5446.21
1	143	5176.93
1	144	4385.49
1	145	4433.54
1	146	4276.17
1	147	4296.07
1	148	4348.71
1	149	3225.39
1	150	5206.37
1	151	5291.33
1	152	5310.96
1	153	5425.06
1	154	5582.62
1	155	5680.94
1	156	5757.88
1	157	5914.49
1	158	5982.53
1	159	6138.51
1	160	6277.44
1	161	6432.58
1	162	6486.62
1	163	6587.58
1	164	6703.96
1	165	6820.65
1	166	6852.24
1	167	6937.62
1	168	7146.37
1	169	7015.38
1	170	7054.48
1	171	7012.36
1	172	6888.62
1	173	6755.6
1	174	6798.39
1	175	6518.29
1	176	6451.84
1	177	6228.26
1	178	6165.28
1	179	6007.6
1	180	5947.53
1	181	5801.78
1	182	5681.16
1	183	5625.94
1	184	5415.37
1	185	4737.22
1	186	3576.4
1	187	3178.25
1	188	3041.38
1	189	3001.67
1	190	5185.62
1	191	5446.21
1	192	5547.35
1	193	5692.65
1	194	5796.82
1	195	5901.8
1	196	6007.55
1	197	6114.02
1	198	6272.81
1	199	6329.0
1	200	6437.44
1	201	6546.47
1	202	6656.06
1	203	6766.18
1	204	6697.11
1	205	6876.82
1	206	6987.71
1	207	7099.74
1	208	7233.99
1	209	7418.26
1	210	7070.4
1	211	6962.85
1	212	6855.88
1	213	6749.54
1	214	6643.84
1	215	6538.83
1	216	6379.51
1	217	6330.98
1	218	6228.21
1	219	6126.28
1	220	6025.21
1	221	5925.05
1	222	5688.69
1	223	5439.73
