param n := 400;
param deposito := 16;
param numero_clusters := 80;
param factor := 1;

set Np[1]:= 292 322 351 374  ;
set Np[2]:= 213 230 346 379  ;
set Np[3]:= 25 29 163  ;
set Np[4]:= 16  ;
set Np[5]:= 133 249 352  ;
set Np[6]:= 32 59 224  ;
set Np[7]:= 89 306  ;
set Np[8]:= 27 63 176 218 297 321  ;
set Np[9]:= 152 180 296  ;
set Np[10]:= 15 21 30 69 76 301 316 341  ;
set Np[11]:= 57 96 103 108 179 299 354 360  ;
set Np[12]:= 102 225 261 287 315 383  ;
set Np[13]:= 33 61 94 235 241 324 333  ;
set Np[14]:= 31 125 242 262  ;
set Np[15]:= 87 187 243 278 312 348 356  ;
set Np[16]:= 35 36 184 271  ;
set Np[17]:= 178 202 214 216 285 286 347  ;
set Np[18]:= 116 195 272 314 332 387 390  ;
set Np[19]:= 98 288  ;
set Np[20]:= 99 104 111 143 386  ;
set Np[21]:= 91 149 193 335 338  ;
set Np[22]:= 86 183 283 372  ;
set Np[23]:= 85 159 190 308 359  ;
set Np[24]:= 134 140 172 188 217 267  ;
set Np[25]:= 56 92 157 203 273 275 339 358  ;
set Np[26]:= 5 14 52 135 141 255 260 266 280 330 353  ;
set Np[27]:= 2 60 110 148 293 385  ;
set Np[28]:= 28 223 250 269 378 388  ;
set Np[29]:= 68 101 113 276 320 350 396 397  ;
set Np[30]:= 26 117 120 129 164 167 328 336  ;
set Np[31]:= 77 199 211 234 236 263 284 357 395  ;
set Np[32]:= 105 170 248 291 318 355 370  ;
set Np[33]:= 40 109 112 168 246 264 380  ;
set Np[34]:= 79 90 121 237 258 375  ;
set Np[35]:= 65 84 174 381  ;
set Np[36]:= 78 138 144 177 198 208  ;
set Np[37]:= 204 210  ;
set Np[38]:= 39 115 222 247 295 304  ;
set Np[39]:= 22 66 147 257 290 367 371  ;
set Np[40]:= 64 107 151 160 196  ;
set Np[41]:= 23 124 191  ;
set Np[42]:= 18 182 233 305 365 399  ;
set Np[43]:= 51 88 165 232 238 244 252 309  ;
set Np[44]:= 122 139 209 265 382  ;
set Np[45]:= 221  ;
set Np[46]:= 13 19 24 173 240 298 384  ;
set Np[47]:= 12 43 126 131 376  ;
set Np[48]:= 8 44 128 145 175 181 229  ;
set Np[49]:= 277  ;
set Np[50]:= 34 45 161 256  ;
set Np[51]:= 41 71 127 153 185 340 343  ;
set Np[52]:= 74 97 219  ;
set Np[53]:= 17 67 155 186 205 268 282 317  ;
set Np[54]:= 11 100 132 245 363  ;
set Np[55]:= 72 119 154 279 323  ;
set Np[56]:= 37 75 82 220 231 270 326  ;
set Np[57]:= 10 146 189  ;
set Np[58]:= 3 93 207 361  ;
set Np[59]:= 20 106 166 215 227 274 368  ;
set Np[60]:= 150 171 294  ;
set Np[61]:= 42 118 391  ;
set Np[62]:= 192  ;
set Np[63]:= 54 289 400  ;
set Np[64]:= 137  ;
set Np[65]:= 200 331 389  ;
set Np[66]:= 6 49 58 136 342  ;
set Np[67]:= 38 55 239  ;
set Np[68]:= 70 81 364  ;
set Np[69]:= 53 95 197 369 398  ;
set Np[70]:= 130 158 251 300 307 311 327 344  ;
set Np[71]:= 194 303 310 334  ;
set Np[72]:= 1 4 9 169 201  ;
set Np[73]:= 46 302 325  ;
set Np[74]:= 114 156 366 392  ;
set Np[75]:= 62 142 254 329 345 362  ;
set Np[76]:= 162 259 313 349  ;
set Np[77]:= 50 83 319 394  ;
set Np[78]:= 73 80 212 226 228 281 337 377  ;
set Np[79]:= 373 393  ;
set Np[80]:= 7 47 48 123 206 253  ;


param c:=
1	2	271.41
1	3	561.75
1	4	35.23
1	5	416.44
1	6	428.46
1	7	332.01
1	8	385.73
1	9	32.85
1	10	555.07
1	11	412.38
1	12	533.14
1	13	353.04
1	14	456.87
1	15	218.57
1	16	649.04
1	17	314.06
1	18	580.93
1	19	381.89
1	20	255.8
1	21	231.99
1	22	149.19
1	23	356.11
1	24	420.94
1	25	669.39
1	26	240.63
1	27	503.07
1	28	392.51
1	29	669.55
1	30	222.19
1	31	558.52
1	32	374.28
1	33	489.13
1	34	158.95
1	35	391.2
1	36	470.57
1	37	373.63
1	38	280.82
1	39	133.78
1	40	257.67
1	41	494.93
1	42	317.84
1	43	546.94
1	44	332.96
1	45	111.65
1	46	630.28
1	47	345.68
1	48	351.85
1	49	503.25
1	50	532.52
1	51	329.67
1	52	463.35
1	53	640.24
1	54	457.53
1	55	293.36
1	56	83.57
1	57	269.09
1	58	500.53
1	59	403.61
1	60	304.04
1	61	487.01
1	62	302.71
1	63	484.27
1	64	335.61
1	65	543.94
1	66	163.32
1	67	313.66
1	68	301.53
1	69	261.78
1	70	575.25
1	71	487.64
1	72	402.75
1	73	386.86
1	74	504.98
1	75	370.52
1	76	250.17
1	77	402.98
1	78	681.9
1	79	319.74
1	80	384.14
1	81	562.89
1	82	316.57
1	83	501.55
1	84	570.0
1	85	612.32
1	86	650.54
1	87	513.6
1	88	382.29
1	89	419.07
1	90	300.35
1	91	428.35
1	92	129.45
1	93	496.99
1	94	529.51
1	95	648.31
1	96	232.97
1	97	435.31
1	98	451.49
1	99	326.58
1	100	374.92
1	101	282.09
1	102	380.24
1	103	247.28
1	104	303.75
1	105	448.35
1	106	319.33
1	107	326.52
1	108	192.04
1	109	264.07
1	110	219.04
1	111	280.48
1	112	248.19
1	113	266.6
1	114	485.53
1	115	112.99
1	116	520.06
1	117	263.11
1	118	282.24
1	119	504.06
1	120	190.85
1	121	273.47
1	122	286.63
1	123	352.39
1	124	356.15
1	125	526.85
1	126	518.46
1	127	454.62
1	128	336.78
1	129	203.76
1	130	231.85
1	131	562.34
1	132	459.64
1	133	169.25
1	134	592.29
1	135	489.17
1	136	489.58
1	137	127.09
1	138	600.95
1	139	256.85
1	140	560.0
1	141	439.25
1	142	296.33
1	143	343.96
1	144	625.39
1	145	358.32
1	146	593.33
1	147	148.47
1	148	253.96
1	149	429.78
1	150	553.6
1	151	407.71
1	152	584.19
1	153	468.76
1	154	446.02
1	155	313.31
1	156	545.0
1	157	130.79
1	158	222.74
1	159	608.06
1	160	351.29
1	161	140.83
1	162	387.45
1	163	709.59
1	164	300.64
1	165	310.72
1	166	245.72
1	167	260.95
1	168	285.15
1	169	68.68
1	170	448.82
1	171	492.92
1	172	614.35
1	173	331.12
1	174	623.3
1	175	393.78
1	176	449.53
1	177	594.47
1	178	237.56
1	179	245.59
1	180	553.32
1	181	347.72
1	182	609.64
1	183	637.55
1	184	454.22
1	185	436.8
1	186	300.59
1	187	538.77
1	188	605.25
1	189	554.88
1	190	627.84
1	191	419.39
1	192	588.1
1	193	398.6
1	194	451.67
1	195	460.46
1	196	322.12
1	197	655.24
1	198	657.88
1	199	400.76
1	200	637.59
1	201	19.59
1	202	255.26
1	203	63.5
1	204	513.56
1	205	335.45
1	206	363.81
1	207	583.91
1	208	660.61
1	209	332.71
1	210	494.24
1	211	346.56
1	212	395.41
1	213	527.25
1	214	222.41
1	215	206.74
1	216	213.58
1	217	589.55
1	218	471.03
1	219	495.92
1	220	395.23
1	221	527.65
1	222	125.45
1	223	419.51
1	224	410.49
1	225	418.31
1	226	365.23
